Relationship,Text
targets,"AppleJeus has been used by  <e1> Lazarus Group </e1>  targeting companies in the energy, finance, government,  <e2> industry </e2>  technology, and telecommunications sectors, and several countries including the United States, United Kingdom, South Korea, Australia, Brazil, New Zealand, and Russia."
hosts,<e1> LuminousMoth </e1> is a Chinese-speaking  <e2> cyber espionage </e2> group that has been active since at least October 2020.
actived-on,"<e1> CopyKittens </e1> is an Iranian cyber espionage group that has been operating since at least  <e2> 2013 </e2>  It has targeted countries including Israel, Saudi Arabia, Turkey, the U."
attributed-to,"Hydraq is a data-theft trojan first used by Elderwood in the 2009 Google intrusion known as  <e1> Operation Aurora </e1>  <e2> Elderwood </e2> in the 2009 Google intrusion known as Operation Aurora, though variations of this trojan have been used in more recent campaigns by other Chinese actors, possibly including APT17."
hosts,"<e1> APT29 </e1> used customized malware to inject malicious code into the SolarWinds Orion software build process that was later distributed through a normal software update; they also used password spraying, token theft, API abuse, spear phishing, and other  <e2> supply chain attack </e2>  to compromise user accounts and leverage their associated access."
located-at,"From 2017 through 2018, the group led an espionage campaign called Operation Shaheen targeting government and  <e1> military </e1> organizations in  <e2> Pakistan </e2>."
belongs-to,"<e1> ZxxZ </e1> is a  <e2> trojan </e2> written in Visual C++ that has been used by BITTER since at least August 2021, including against Bangladeshi government personnel."
located-at,"Higaisa has targeted government,  <e1> public </e1>  and trade organizations in  <e2> North Korea </e2>  however, they have also carried out attacks in China, Japan, Russia, Poland, and other nations."
belongs-to,<e1> Cadelspy </e1> is a  <e2> backdoor </e2> that has been used by APT39.
located-at,Ferocious Kitten is a threat group that has primarily targeted  <e1> Persian-speaking individuals </e1> in  <e2> Iran </e2> since at least 2015.
located-at,"Active since at least 2009, Leviathan has targeted the following sectors: academia, aerospace/aviation,  <e1> biomedical </e1>  defense industrial base, government, healthcare, manufacturing, maritime, and transportation across the US, Canada,  <e2> Europe </e2>  the Middle East, and Southeast Asia."
located-at,"BITTER has primarily targeted  <e1> government </e1>  energy, and engineering organizations in Pakistan,  <e2> China </e2>  Bangladesh, and Saudi Arabia."
targets,"<e1> Ke3chang </e1> has targeted oil, government, diplomatic, military, and NGOs in Central and South America, the Caribbean,  <e2> Europe </e2>  and North America since at least 2010."
targets,"<e1> Fox Kitten </e1> has targeted multiple industrial verticals including oil and gas, technology, government, defense, healthcare,  <e2> manufacturing </e2>  and engineering."
targets,"<e1> HEXANE </e1> is a cyber espionage threat group that has targeted oil & gas, telecommunications, aviation, and internet service provider organizations since at least 2017. Targeted companies have been located in the Middle East and  <e2> Africa </e2>  including Israel, Saudi Arabia, Kuwait, Morocco, and Tunisia."
actived-on,<e1> BLACKCOFFEE </e1> is malware that has been used by several Chinese groups since at least  <e2> 2013 </e2>.
targets,"<e1> APT39 </e1> has primarily targeted the travel, hospitality, academic, and telecommunications industries in <e2>  Iran </e2> and across Asia, Africa, Europe, and North America to track individuals and entities considered to be a threat by the MOIS."
similar-to,<e1> adbupd </e1> is a backdoor used by PLATINUM that is similar to  <e2> Dipsind </e2>.
targets,"<e1> APT37 </e1> is a North Korean state-sponsored cyber espionage group that has been active since at least 2012. The group has targeted victims primarily in South Korea, but also in Japan, Vietnam, Russia, Nepal, China, India, Romania,  <e2> Kuwait </e2>  and other parts of the Middle East."
uses,"Firmware attacks in ransomwareFor a firmware attack to be possible, the  <e1> ransomware actors </e1> would first need to access the system via a common pathway such as  <e2> phishing </e2>  exploiting a vulnerability, or performing a supply chain attack."
located-at,"Aoqin Dragon has primarily targeted government, education, and  <e1> telecommunication </e1> organizations in Australia, Cambodia, Hong Kong,  <e2> Singapore </e2>  and Vietnam."
targets,"The  <e1> SolarWinds Compromise </e1> was a sophisticated supply chain cyber operation conducted by APT29 that was discovered in mid-December 2020. Victims of this campaign included government, consulting,  <e2> technology </e2>  telecom, and other organizations in North America, Europe, Asia, and the Middle East."
located-at,"BITTER has primarily targeted  <e1> government </e1>  energy, and engineering organizations in Pakistan, China, Bangladesh, and  <e2> Saudi Arabia </e2>."
located-at,"Mustang Panda has targeted government entities,  <e1> nonprofits </e1>  religious, and other non-governmental organizations in the U. ,  <e2> Europe </e2>  Mongolia, Myanmar, Pakistan, and Vietnam, among others."
located-at,"Windshift is a threat group that has been active since at least 2017, targeting specific individuals for surveillance in government departments and  <e1> critical infrastructure </e1> across the  <e2> Middle East </e2>."
targets,"This morning after hack, website of The social development department opened to a black page with a window containing the animated graphic ""Website hacked by  <e1> H4ksnipe </e1>  <e2> social development department </e2> opened to a black page with a window containing the animated graphic ""Website hacked by H4ksniper""."
targets,"<e1> Operation Wocao </e1> was a cyber espionage campaign that targeted organizations around the world, including in Brazil, China, France, Germany, Italy,  <e2> Mexico </e2>  Portugal, Spain, the United Kingdom, and the United States."
targets,"<e1> FIN7 </e1> has primarily targeted the retail,  <e2> restaurant </e2>  hospitality, software, consulting, financial services, medical equipment, cloud services, media, food and beverage, transportation, and utilities industries in the U."
belongs-to,<e1> BLUELIGHT </e1> is a remote access  <e2> Trojan </e2> used by APT37 that was first observed in early 2021.
associated-with,"Based on similarities in TTPs, leak sites, payment sites, and negotiation tactics, security researchers assess the  <e1> Black Basta RaaS </e1> operators could include current or former members of the  <e2> Conti group </e2>."
similar-to,"This group is also known as Shell Crew, WebMasters, KungFu Kittens, and  <e1> PinkPanther </e1>  Deep Panda also appears to be known as  <e2> Black Vine </e2> based on the attribution of both group names to the Anthem intrusion."
targets,"<e1> GALLIUM </e1> is a cyberespionage group that has been active since at least 2012, primarily targeting  <e2> telecommunications </e2> companies, financial institutions, and government entities in Afghanistan, Australia, Belgium, Cambodia, Malaysia, Mozambique, the Philippines, Russia, and Vietnam."
belongs-to,"SideCopy is a Pakistani threat group that has primarily targeted South Asian countries, including Indian and  <e1> Afghani </e1>  <e2> South Asian countries </e2>  including Indian and Afghani government personnel, since at least 2019."
hosts,<e1> Briba </e1> is a trojan used by Elderwood to open a  <e2> backdoor </e2> and download files on to compromised hosts.
targets,"AppleJeus has been used by  <e1> Lazarus Group </e1>  targeting companies in the energy, finance, government, industry, technology, and telecommunications sectors, and several countries including the United States, United Kingdom, South Korea, Australia, Brazil,  <e2> New Zealand </e2>  and Russia."
belongs-to,Microsoft's Digital Crimes Unit (DCU) last week disclosed that it had taken legal proceedings against an Iranian threat actor dubbed  <e1> Bohrium </e1>  <e2> Iranian threat actor </e2> dubbed Bohrium in connection with a spear-phishing operation.
actived-on,"<e1> Nomadic Octopus </e1> is a Russian-speaking cyber espionage threat group that has primarily targeted Central Asia, including local governments, diplomatic missions, and individuals, since at least  <e2> 2014 </e2>  Nomadic Octopus has been observed conducting campaigns involving Android and Windows malware, mainly using the Delphi programming language, and building custom variants."
targets,"<e1> Deep Panda </e1> is a suspected Chinese threat group known to target many industries, including  <e2> government </e2>  defense, financial, and telecommunications."
